# R	vm0	vstd0
58.97213385	0.01647166	0.00901195
59.08170569	0.01675769	0.00853203
59.19127753	0.01693392	0.00809086
59.30084937	0.01747031	0.00775215
59.41042121	0.01775204	0.00749341
59.51999305	0.01810440	0.00731799
59.62956489	0.01898360	0.00728469
59.73913673	0.01998168	0.00740597
59.84870857	0.02128315	0.00757409
59.95828041	0.02269594	0.00771913
60.06785225	0.02324690	0.00785235
60.17742410	0.02411995	0.00792833
60.28699594	0.02428858	0.00799369
60.39656778	0.02478428	0.00802312
60.50613962	0.02576645	0.00806590
60.61571146	0.02648447	0.00798505
60.72528330	0.02699529	0.00790929
60.83485514	0.02754907	0.00783716
60.94442698	0.02775795	0.00781887
61.05399882	0.02823673	0.00775759
61.16357066	0.02866012	0.00759219
61.27314250	0.02857190	0.00744209
61.38271434	0.02838005	0.00734458
61.49228618	0.02790005	0.00725200
61.60185802	0.02731445	0.00721283
61.71142986	0.02764413	0.00724069
61.82100170	0.02752252	0.00734284
61.93057354	0.02800274	0.00750119
62.04014538	0.02814493	0.00761404
62.14971722	0.02777985	0.00780314
62.25928906	0.02763935	0.00787932
62.36886090	0.02766650	0.00794423
62.47843274	0.02772118	0.00799670
62.58800458	0.02768001	0.00804878
62.69757642	0.02731786	0.00805559
62.80714826	0.02701757	0.00804510
62.91672010	0.02762260	0.00800806
63.02629194	0.02784051	0.00790634
63.13586378	0.02825523	0.00774977
63.24543562	0.02812616	0.00755774
63.35500746	0.02747702	0.00733038
63.46457930	0.02684221	0.00706631
63.57415114	0.02600684	0.00682395
63.68372298	0.02532818	0.00657490
63.79329482	0.02493270	0.00632967
63.90286666	0.02459832	0.00612996
64.01243850	0.02432504	0.00595766
64.12201034	0.02409283	0.00582318
64.23158218	0.02394305	0.00566678
64.34115403	0.02410079	0.00550381
64.45072587	0.02418325	0.00532869
64.56029771	0.02334641	0.00513104
64.66986955	0.02288166	0.00498422
64.77944139	0.02220503	0.00484596
64.88901323	0.02205714	0.00478699
64.99858507	0.02236656	0.00482778
65.10815691	0.02254852	0.00489544
65.21772875	0.02288302	0.00499037
65.32730059	0.02312031	0.00516600
65.43687243	0.02312765	0.00539992
65.54644427	0.02312492	0.00568893
65.65601611	0.02311210	0.00597795
65.76558795	0.02308922	0.00625916
65.87515979	0.02305625	0.00654145
65.98473163	0.02301322	0.00678838
66.09430347	0.02296010	0.00699253
66.20387531	0.02289743	0.00713613
66.31344715	0.02282630	0.00721701
66.42301899	0.02274670	0.00726005
66.53259083	0.02265863	0.00726766
66.64216267	0.02256210	0.00724801
66.75173451	0.02245710	0.00716619
66.86130635	0.02235090	0.00705030
66.97087819	0.02212650	0.00692540
67.08045003	0.02188446	0.00679743
67.19002187	0.02163229	0.00667974
67.29959371	0.02137158	0.00656209
67.40916555	0.02109892	0.00645300
67.51873739	0.02080398	0.00637827
67.62830923	0.02051050	0.00633074
67.73788107	0.02024055	0.00627052
67.84745291	0.01999414	0.00618806
67.95702475	0.01977125	0.00608016
68.06659659	0.01940753	0.00594724
68.17616843	0.01909868	0.00579616
68.28574027	0.01884672	0.00564783
68.39531211	0.01854036	0.00554978
68.50488396	0.01822466	0.00548965
68.61445580	0.01808490	0.00544083
68.72402764	0.01807979	0.00538260
68.83359948	0.01820616	0.00536247
68.94317132	0.01846725	0.00534999
69.05274316	0.01886648	0.00532871
69.16231500	0.01925276	0.00532810
69.27188684	0.01967597	0.00539773
69.38145868	0.02042685	0.00555022
69.49103052	0.02085684	0.00569425
69.60060236	0.02124081	0.00581790
69.71017420	0.02174305	0.00598536
69.81974604	0.02213603	0.00610632
69.92931788	0.02238571	0.00621062
70.03888972	0.02266296	0.00630317
70.14846156	0.02291001	0.00640965
70.25803340	0.02303408	0.00653533
70.36760524	0.02308153	0.00658805
70.47717708	0.02326716	0.00656481
70.58674892	0.02358613	0.00655608
70.69632076	0.02328876	0.00651848
70.80589260	0.02326578	0.00649234
70.91546444	0.02344359	0.00653753
71.02503628	0.02327804	0.00661061
71.13460812	0.02359272	0.00670506
71.24417996	0.02339796	0.00670260
71.35375180	0.02269384	0.00671999
71.46332364	0.02250394	0.00671630
71.57289548	0.02164483	0.00665532
71.68246732	0.02041155	0.00660919
71.79203916	0.01925432	0.00655746
71.90161100	0.01822738	0.00653209
72.01118284	0.01723139	0.00652384
72.12075468	0.01597713	0.00657504
72.23032652	0.01460686	0.00658260
72.33989836	0.01383688	0.00650313
72.44947020	0.01292753	0.00651004
72.55904204	0.01187880	0.00654378
72.66861388	0.01092205	0.00662039
72.77818573	0.00988221	0.00662822
