# R	vm0	vstd0
36.72819203	0.03602373	0.01079988
36.89681113	0.03663030	0.00986001
37.06543022	0.03649934	0.00905373
37.23404931	0.03588886	0.00841826
37.40266841	0.03538110	0.00803372
37.57128750	0.03497608	0.00786634
37.73990659	0.03465238	0.00792013
37.90852569	0.03437419	0.00816510
38.07714478	0.03411786	0.00865266
38.24576387	0.03302771	0.00915675
38.41438297	0.03200335	0.00964440
38.58300206	0.03134221	0.01002669
38.75162115	0.03146326	0.01036047
38.92024025	0.03138986	0.01060427
39.08885934	0.02879442	0.01083739
39.25747843	0.02688425	0.01096995
39.42609752	0.02567578	0.01102514
39.59471662	0.02517078	0.01096181
39.76333571	0.02508950	0.01074934
39.93195480	0.02482298	0.01045511
40.10057390	0.02437058	0.01012572
40.26919299	0.02376602	0.00963108
40.43781208	0.02307577	0.00903511
40.60643118	0.02232348	0.00833176
40.77505027	0.02155669	0.00765123
40.94366936	0.02077426	0.00695198
41.11228846	0.02002952	0.00637425
41.28090755	0.01934366	0.00584789
41.44952664	0.01871408	0.00543664
41.61814574	0.01813524	0.00508409
41.78676483	0.01760499	0.00483452
41.95538392	0.01710687	0.00466576
42.12400301	0.01664088	0.00456333
42.29262211	0.01622782	0.00446880
42.46124120	0.01589418	0.00442054
42.62986029	0.01564065	0.00440658
42.79847939	0.01546913	0.00440090
42.96709848	0.01535671	0.00438775
43.13571757	0.01530340	0.00436514
43.30433667	0.01530825	0.00433302
43.47295576	0.01537199	0.00428499
43.64157485	0.01545098	0.00421073
43.81019395	0.01553874	0.00411056
43.97881304	0.01563527	0.00400210
44.14743213	0.01574093	0.00388090
44.31605123	0.01585579	0.00374925
44.48467032	0.01597957	0.00360859
44.65328941	0.01611171	0.00347742
44.82190851	0.01625317	0.00335524
44.99052760	0.01637188	0.00323640
45.15914669	0.01646682	0.00313021
45.32776578	0.01653319	0.00305367
45.49638488	0.01657917	0.00298165
45.66500397	0.01660477	0.00292308
45.83362306	0.01661051	0.00287609
46.00224216	0.01659647	0.00283919
46.17086125	0.01656788	0.00281907
46.33948034	0.01653033	0.00280892
46.50809944	0.01648327	0.00280685
46.67671853	0.01642652	0.00281094
46.84533762	0.01636063	0.00280691
47.01395672	0.01628589	0.00281518
47.18257581	0.01620289	0.00282952
47.35119490	0.01611194	0.00283301
47.51981400	0.01604527	0.00284493
47.68843309	0.01600384	0.00285915
47.85705218	0.01597755	0.00286581
48.02567127	0.01595066	0.00287366
48.19429037	0.01592401	0.00287537
48.36290946	0.01589793	0.00287323
48.53152855	0.01587190	0.00286191
48.70014765	0.01584585	0.00285543
48.86876674	0.01581876	0.00286248
49.03738583	0.01579181	0.00287872
49.20600493	0.01576561	0.00290168
49.37462402	0.01574015	0.00292456
49.54324311	0.01571491	0.00294365
49.71186221	0.01568942	0.00295462
49.88048130	0.01566342	0.00296752
50.04910039	0.01563776	0.00297170
50.21771949	0.01561238	0.00297571
50.38633858	0.01558741	0.00298388
50.55495767	0.01556266	0.00298879
50.72357677	0.01553727	0.00297090
50.89219586	0.01551391	0.00293544
51.06081495	0.01554169	0.00288793
51.22943404	0.01559703	0.00283337
