# R	vm0	vstd0
38.32072207	0.02829344	0.02261336
38.54236869	0.03031082	0.02050546
38.76401531	0.03167455	0.01846036
38.98566193	0.03313550	0.01655777
39.20730856	0.03469366	0.01479979
39.42895518	0.03634903	0.01344927
39.65060180	0.03810162	0.01256418
39.87224842	0.03995142	0.01216396
40.09389505	0.04189843	0.01234079
40.31554167	0.04657021	0.01256490
40.53718829	0.04828815	0.01299002
40.75883491	0.05016049	0.01351007
40.98048154	0.05148388	0.01434149
41.20212816	0.05237120	0.01520594
41.42377478	0.05442531	0.01611555
41.64542140	0.05406383	0.01700767
41.86706803	0.05380487	0.01780829
42.08871465	0.05385281	0.01858128
42.31036127	0.05378602	0.01905850
42.53200789	0.05360453	0.01937798
42.75365452	0.05318981	0.01957297
42.97530114	0.05248510	0.01967786
43.19694776	0.05120760	0.01982255
43.41859438	0.05054533	0.01965680
43.64024100	0.04943240	0.01925794
43.86188763	0.04770815	0.01870126
44.08353425	0.04530995	0.01802951
44.30518087	0.04249514	0.01729749
44.52682749	0.03960529	0.01656276
44.74847412	0.03648306	0.01571997
44.97012074	0.03360726	0.01489401
45.19176736	0.03098171	0.01419439
45.41341398	0.02878127	0.01355625
45.63506061	0.02664071	0.01300979
45.85670723	0.02456000	0.01260012
46.07835385	0.02265766	0.01233127
46.30000047	0.02099045	0.01221512
46.52164710	0.01984118	0.01224347
46.74329372	0.01802182	0.01233799
46.96494034	0.01659827	0.01244860
47.18658696	0.01573118	0.01250527
47.40823359	0.01549575	0.01253508
47.62988021	0.01563783	0.01252140
47.85152683	0.01581586	0.01251972
48.07317345	0.01618717	0.01249641
48.29482008	0.01662887	0.01247954
48.51646670	0.01738421	0.01244973
48.73811332	0.01840948	0.01250325
48.95975994	0.01986584	0.01269554
49.18140657	0.02037027	0.01298025
49.40305319	0.02123125	0.01334101
49.62469981	0.02256627	0.01370406
49.84634643	0.02369783	0.01400662
50.06799305	0.02462593	0.01434498
50.28963968	0.02535056	0.01468914
50.51128630	0.02587173	0.01498390
50.73293292	0.02617688	0.01526741
50.95457954	0.02634853	0.01546142
51.17622617	0.02656034	0.01544453
51.39787279	0.02688713	0.01530520
51.61951941	0.02710403	0.01507799
51.84116603	0.02790462	0.01480490
52.06281266	0.02864112	0.01445943
52.28445928	0.02867875	0.01412202
52.50610590	0.02940053	0.01382991
52.72775252	0.02949800	0.01359165
52.94939915	0.02885364	0.01341118
53.17104577	0.02814498	0.01322175
53.39269239	0.02737200	0.01298348
53.61433901	0.02653471	0.01280150
53.83598564	0.02570883	0.01273559
54.05763226	0.02471467	0.01272674
54.27927888	0.02379521	0.01279186
54.50092550	0.02277677	0.01279218
54.72257213	0.02158458	0.01277672
54.94421875	0.02073120	0.01275578
55.16586537	0.01901110	0.01268444
55.38751199	0.01717819	0.01260179
55.60915861	0.01566108	0.01245990
55.83080524	0.01443256	0.01223491
56.05245186	0.01349266	0.01198072
56.27409848	0.01284136	0.01169443
56.49574510	0.01247866	0.01139491
56.71739173	0.01240457	0.01116727
56.93903835	0.01261908	0.01101084
57.16068497	0.01304648	0.01091220
57.38233159	0.01386645	0.01079303
57.60397822	0.01475030	0.01061553
57.82562484	0.01569801	0.01044225
58.04727146	0.01670960	0.01024623
58.26891808	0.01775133	0.01003147
58.49056471	0.01864668	0.00983383
58.71221133	0.01971484	0.00963155
58.93385795	0.02070160	0.00943919
59.15550457	0.02163441	0.00928992
59.37715120	0.02251443	0.00919015
59.59879782	0.02334165	0.00906154
59.82044444	0.02411607	0.00888314
60.04209106	0.02482285	0.00865944
60.26373769	0.02546428	0.00841426
60.48538431	0.02605200	0.00822701
60.70703093	0.02658601	0.00802771
60.92867755	0.02706631	0.00783250
61.15032417	0.02749290	0.00769450
61.37197080	0.02748433	0.00757687
61.59361742	0.02717485	0.00745221
61.81526404	0.02705377	0.00733391
