# R	vm0	vstd0
72.22439494	0.02080375	0.00523147
72.45065749	0.02119439	0.00538358
72.67692005	0.02124029	0.00551726
72.90318260	0.02110892	0.00572408
73.12944516	0.02063302	0.00580652
73.35570771	0.02022434	0.00609097
73.58197026	0.02000297	0.00626248
73.80823282	0.01976707	0.00639120
74.03449537	0.01959069	0.00653420
74.26075793	0.01990290	0.00671378
74.48702048	0.02126486	0.00693922
74.71328304	0.02325288	0.00705259
74.93954559	0.02316963	0.00716447
75.16580815	0.02381120	0.00715869
75.39207070	0.02475230	0.00713564
75.61833325	0.02646373	0.00720240
75.84459581	0.02667917	0.00726003
76.07085836	0.02777625	0.00732490
76.29712092	0.02889130	0.00727482
76.52338347	0.03000810	0.00742533
76.74964603	0.03104207	0.00747547
76.97590858	0.03135481	0.00749303
77.20217114	0.03197014	0.00753101
77.42843369	0.03300374	0.00760324
77.65469624	0.03361078	0.00754597
77.88095880	0.03393754	0.00748930
78.10722135	0.03312597	0.00764569
78.33348391	0.03380060	0.00786051
78.55974646	0.03395232	0.00784222
78.78600902	0.03319746	0.00785272
79.01227157	0.03180470	0.00797411
79.23853413	0.03089597	0.00813156
79.46479668	0.02923841	0.00814108
79.69105923	0.02784931	0.00807072
79.91732179	0.02671136	0.00795390
80.14358434	0.02553631	0.00783903
80.36984690	0.02476593	0.00775412
80.59610945	0.02372811	0.00768839
80.82237201	0.02207413	0.00769830
81.04863456	0.02073457	0.00773184
81.27489712	0.01969339	0.00768867
81.50115967	0.01881013	0.00774866
81.72742222	0.01802289	0.00782552
81.95368478	0.01729471	0.00783971
82.17994733	0.01644068	0.00782387
82.40620989	0.01574109	0.00778497
82.63247244	0.01538993	0.00781407
82.85873500	0.01538719	0.00787411
83.08499755	0.01522942	0.00780616
83.31126011	0.01505488	0.00773314
83.53752266	0.01508881	0.00765069
83.76378522	0.01546652	0.00752054
83.99004777	0.01595150	0.00733510
84.21631032	0.01669045	0.00720321
84.44257288	0.01753973	0.00712676
84.66883543	0.01822077	0.00694808
84.89509799	0.01882986	0.00675792
85.12136054	0.01937426	0.00649065
85.34762310	0.01982477	0.00620578
85.57388565	0.02040297	0.00604700
85.80014821	0.02078601	0.00582542
86.02641076	0.02107070	0.00571201
86.25267331	0.02143027	0.00560423
86.47893587	0.02142590	0.00548546
86.70519842	0.02140324	0.00546426
86.93146098	0.02091675	0.00546643
87.15772353	0.02036103	0.00548573
87.38398609	0.01978111	0.00551058
87.61024864	0.01939156	0.00549210
87.83651120	0.01870450	0.00547067
88.06277375	0.01796800	0.00549895
88.28903630	0.01753464	0.00539406
88.51529886	0.01712773	0.00535503
88.74156141	0.01676539	0.00535882
88.96782397	0.01588504	0.00542769
89.19408652	0.01497163	0.00551931
89.42034908	0.01461985	0.00563266
89.64661163	0.01381042	0.00573286
89.87287419	0.01302957	0.00576204
90.09913674	0.01228884	0.00589121
90.32539929	0.01176473	0.00603241
90.55166185	0.01102061	0.00618504
90.77792440	0.01011505	0.00637546
91.00418696	0.00998424	0.00657712
91.23044951	0.00932704	0.00669173
91.45671207	0.00821217	0.00681544
91.68297462	0.00678429	0.00708949
91.90923718	0.00535995	0.00752204
92.13549973	0.00395021	0.00805384
92.36176228	0.00311765	0.00864648
92.58802484	0.00238265	0.00933408
92.81428739	0.00112309	0.01004789
93.04054995	0.00018500	0.01079101
