# R	vm0	vstd0
30.73173375	0.03935892	0.01135046
30.95142481	0.03915674	0.01067713
31.17111587	0.03892147	0.01006827
31.39080693	0.03871698	0.00949134
31.61049799	0.03853799	0.00899401
31.83018906	0.03758236	0.00860449
32.04988012	0.03693720	0.00832498
32.26957118	0.03615792	0.00814767
32.48926224	0.03524449	0.00812438
32.70895330	0.03420297	0.00812380
32.92864436	0.03327543	0.00814441
33.14833542	0.03246186	0.00818150
33.36802648	0.03174528	0.00825601
33.58771754	0.03126935	0.00837905
33.80740861	0.03095707	0.00852885
34.02709967	0.03053690	0.00872277
34.24679073	0.03015746	0.00896362
34.46648179	0.02989314	0.00922445
34.68617285	0.02968006	0.00947387
34.90586391	0.02952640	0.00969440
35.12555497	0.03023826	0.00986639
35.34524603	0.03072853	0.00999071
35.56493709	0.03144181	0.01005056
35.78462816	0.03242797	0.01003407
36.00431922	0.03348482	0.00995080
36.22401028	0.03439434	0.00979231
36.44370134	0.03528227	0.00954057
36.66339240	0.03674606	0.00924355
36.88308346	0.03783589	0.00888202
37.10277452	0.03872514	0.00847561
37.32246558	0.03892387	0.00804022
37.54215664	0.03884432	0.00759754
37.76184771	0.03902273	0.00715636
37.98153877	0.03924492	0.00674340
38.20122983	0.03917043	0.00636923
38.42092089	0.03960041	0.00605889
38.64061195	0.04034765	0.00580343
38.86030301	0.04005418	0.00562335
39.07999407	0.03951391	0.00549845
39.29968513	0.03898857	0.00541546
39.51937619	0.03868443	0.00536840
39.73906726	0.03877515	0.00535856
39.95875832	0.03815501	0.00535984
40.17844938	0.03777436	0.00534839
40.39814044	0.03745984	0.00533437
40.61783150	0.03772625	0.00533585
40.83752256	0.03823664	0.00534274
41.05721362	0.03846677	0.00534429
41.27690468	0.03865528	0.00535452
41.49659574	0.03863217	0.00538554
41.71628680	0.03805545	0.00543056
41.93597787	0.03714013	0.00552118
42.15566893	0.03724418	0.00565401
42.37535999	0.03752382	0.00585860
42.59505105	0.03802775	0.00611519
42.81474211	0.03844332	0.00638746
43.03443317	0.03847113	0.00666565
43.25412423	0.03861947	0.00694697
43.47381529	0.03888778	0.00720166
43.69350635	0.03927606	0.00741462
43.91319742	0.03950071	0.00757669
44.13288848	0.03948538	0.00765746
44.35257954	0.03848082	0.00768282
44.57227060	0.03749076	0.00762666
44.79196166	0.03773725	0.00748389
45.01165272	0.03681222	0.00726204
45.23134378	0.03576892	0.00697248
45.45103484	0.03598953	0.00666164
45.67072590	0.03578145	0.00630250
45.89041697	0.03496937	0.00592153
46.11010803	0.03464203	0.00553029
46.32979909	0.03479945	0.00515298
46.54949015	0.03475680	0.00480365
46.76918121	0.03329566	0.00451585
46.98887227	0.03178959	0.00428489
47.20856333	0.03050623	0.00412194
47.42825439	0.02943731	0.00402826
47.64794545	0.03003491	0.00402946
47.86763652	0.03023767	0.00412014
48.08732758	0.02905793	0.00426553
48.30701864	0.02903879	0.00445074
48.52670970	0.02909922	0.00462638
48.74640076	0.02785702	0.00479658
48.96609182	0.02700482	0.00497843
49.18578288	0.02671790	0.00512233
49.40547394	0.02573185	0.00524000
49.62516500	0.02400991	0.00534254
49.84485607	0.02284599	0.00541584
50.06454713	0.02345764	0.00547655
50.28423819	0.02446901	0.00551930
50.50392925	0.02547102	0.00552433
50.72362031	0.02558430	0.00549759
50.94331137	0.02461261	0.00545233
51.16300243	0.02402585	0.00540994
51.38269349	0.02409717	0.00536595
51.60238455	0.02422841	0.00532086
51.82207562	0.02441956	0.00530391
52.04176668	0.02466004	0.00533305
52.26145774	0.02493911	0.00539275
52.48114880	0.02517559	0.00548026
52.70083986	0.02552101	0.00560157
52.92053092	0.02601214	0.00573487
53.14022198	0.02595033	0.00587209
53.35991304	0.02530085	0.00601276
53.57960410	0.02406603	0.00613255
53.79929516	0.02264604	0.00621723
54.01898623	0.02200712	0.00624434
54.23867729	0.02154831	0.00621008
54.45836835	0.02107289	0.00611032
54.67805941	0.02076428	0.00596817
54.89775047	0.02064671	0.00579758
55.11744153	0.02072017	0.00559974
55.33713259	0.02098706	0.00540075
55.55682365	0.02049393	0.00522411
55.77651471	0.01985458	0.00505808
55.99620578	0.01998800	0.00491557
56.21589684	0.01992184	0.00480478
56.43558790	0.02015461	0.00475690
56.65527896	0.01987440	0.00475291
56.87497002	0.01960152	0.00478871
57.09466108	0.01933596	0.00484121
57.31435214	0.01931319	0.00490996
57.53404320	0.01893551	0.00497821
57.75373426	0.01947029	0.00505869
57.97342533	0.02012565	0.00514141
58.19311639	0.02016466	0.00521031
58.41280745	0.02041552	0.00521955
58.63249851	0.02039236	0.00524755
58.85218957	0.02040005	0.00528922
59.07188063	0.02045914	0.00532680
59.29157169	0.01942920	0.00533706
59.51126275	0.01902136	0.00533417
59.73095381	0.01861674	0.00535426
59.95064488	0.01957932	0.00539149
60.17033594	0.02072515	0.00539760
60.39002700	0.02078929	0.00544897
60.60971806	0.01962310	0.00551437
60.82940912	0.01875214	0.00555922
61.04910018	0.01960254	0.00559676
61.26879124	0.02071839	0.00562616
61.48848230	0.02222888	0.00560344
61.70817336	0.02244086	0.00557816
61.92786443	0.02172761	0.00559758
62.14755549	0.02253768	0.00560649
62.36724655	0.02239442	0.00561901
62.58693761	0.02251205	0.00562162
62.80662867	0.02251573	0.00560913
63.02631973	0.02264913	0.00561830
63.24601079	0.02243595	0.00564011
63.46570185	0.02230445	0.00569208
63.68539291	0.02327124	0.00578735
63.90508397	0.02498885	0.00591534
64.12477504	0.02661179	0.00605176
64.34446610	0.02536566	0.00620483
64.56415716	0.02352838	0.00633505
64.78384822	0.02163869	0.00647990
65.00353928	0.02056152	0.00661121
65.22323034	0.02041771	0.00675939
65.44292140	0.01941796	0.00687127
65.66261246	0.01948579	0.00696023
65.88230352	0.01961965	0.00701948
66.10199459	0.01941763	0.00704611
66.32168565	0.01884600	0.00702322
66.54137671	0.01786455	0.00692653
66.76106777	0.01670867	0.00677181
66.98075883	0.01566226	0.00656100
67.20044989	0.01491268	0.00632409
67.42014095	0.01443386	0.00606428
67.63983201	0.01405980	0.00579479
67.85952307	0.01357770	0.00551994
68.07921414	0.01306441	0.00525857
68.29890520	0.01283974	0.00501944
68.51859626	0.01259217	0.00481105
68.73828732	0.01232171	0.00464566
68.95797838	0.01202836	0.00453240
69.17766944	0.01174503	0.00446423
69.39736050	0.01150966	0.00444048
69.61705156	0.01133649	0.00446607
69.83674262	0.01128082	0.00452434
70.05643369	0.01125924	0.00460032
70.27612475	0.01120947	0.00468083
70.49581581	0.01112724	0.00475943
70.71550687	0.01103983	0.00482598
70.93519793	0.01095580	0.00486661
71.15488899	0.01087439	0.00488046
71.37458005	0.01076353	0.00487110
71.59427111	0.01027949	0.00484168
71.81396217	0.00974155	0.00478763
72.03365324	0.00922756	0.00472000
72.25334430	0.00873752	0.00465030
72.47303536	0.00827142	0.00458641
72.69272642	0.00782927	0.00453479
72.91241748	0.00739686	0.00449582
73.13210854	0.00691885	0.00446553
73.35179960	0.00647868	0.00444899
73.57149066	0.00610304	0.00444481
73.79118172	0.00579195	0.00444458
74.01087279	0.00554416	0.00444644
74.23056385	0.00535806	0.00444286
74.45025491	0.00523365	0.00443216
74.66994597	0.00517093	0.00441373
74.88963703	0.00548269	0.00438596
75.10932809	0.00588691	0.00434392
75.32901915	0.00630575	0.00429733
75.54871021	0.00682112	0.00424061
75.76840127	0.00743318	0.00416694
75.98809233	0.00812260	0.00407923
76.20778340	0.00880091	0.00398903
76.42747446	0.00943933	0.00389529
76.64716552	0.01000568	0.00379927
76.86685658	0.01049996	0.00370901
77.08654764	0.01089950	0.00362936
77.30623870	0.01133542	0.00356598
77.52592976	0.01180769	0.00350097
77.74562082	0.01217983	0.00344961
77.96531188	0.01251867	0.00340690
78.18500295	0.01257729	0.00336456
78.40469401	0.01262751	0.00332661
78.62438507	0.01264470	0.00329429
78.84407613	0.01248616	0.00327069
79.06376719	0.01236874	0.00324973
79.28345825	0.01229994	0.00324998
79.50314931	0.01218150	0.00326356
79.72284037	0.01200691	0.00328796
79.94253143	0.01183919	0.00331299
80.16222250	0.01175516	0.00335231
80.38191356	0.01177748	0.00338903
80.60160462	0.01177737	0.00341644
80.82129568	0.01182268	0.00344918
81.04098674	0.01198789	0.00347379
81.26067780	0.01205142	0.00348937
81.48036886	0.01195876	0.00350179
81.70005992	0.01190316	0.00351240
81.91975098	0.01189509	0.00352087
82.13944205	0.01199534	0.00352950
82.35913311	0.01197938	0.00354105
82.57882417	0.01181414	0.00355989
82.79851523	0.01159808	0.00357284
83.01820629	0.01137176	0.00356922
83.23789735	0.01110434	0.00355743
83.45758841	0.01071898	0.00354231
83.67727947	0.01046558	0.00353618
83.89697053	0.01029154	0.00354832
84.11666160	0.00998778	0.00358102
84.33635266	0.00961636	0.00362699
84.55604372	0.00933198	0.00369581
84.77573478	0.00929158	0.00378690
84.99542584	0.00931689	0.00390564
85.21511690	0.00913966	0.00405946
85.43480796	0.00916812	0.00423790
85.65449902	0.00918561	0.00444475
85.87419008	0.00918331	0.00467704
86.09388114	0.00924948	0.00491788
86.31357221	0.00951981	0.00515457
86.53326327	0.01010027	0.00537027
86.75295433	0.01099084	0.00555205
86.97264539	0.01193356	0.00568785
87.19233645	0.01296044	0.00578456
87.41202751	0.01421267	0.00585210
87.63171857	0.01569027	0.00588614
87.85140963	0.01697812	0.00588189
88.07110069	0.01769325	0.00583626
88.29079176	0.01802948	0.00574835
88.51048282	0.01853241	0.00574711
88.73017388	0.01879382	0.00583223
88.94986494	0.01903788	0.00600786
89.16955600	0.01931832	0.00627255
89.38924706	0.01963512	0.00663268
89.60893812	0.01984736	0.00705340
89.82862918	0.01984906	0.00752430
