# R	vm0	vstd0
34.50782732	0.02435344	0.00519942
34.69980291	0.02425341	0.00493755
34.89177850	0.02414226	0.00474364
35.08375409	0.02402065	0.00461433
35.27572968	0.02388602	0.00452096
35.46770527	0.02373927	0.00449007
35.65968086	0.02358112	0.00450315
35.85165645	0.02341262	0.00451755
36.04363203	0.02323217	0.00454499
36.23560762	0.02305298	0.00455711
36.42758321	0.02287457	0.00457007
36.61955880	0.02269616	0.00456518
36.81153439	0.02251809	0.00451590
37.00350998	0.02234234	0.00445237
37.19548557	0.02217636	0.00440225
37.38746116	0.02202328	0.00434777
37.57943675	0.02188288	0.00428270
37.77141234	0.02174782	0.00425998
37.96338793	0.02161674	0.00427951
38.15536352	0.02149104	0.00434157
38.34733911	0.02137149	0.00439586
38.53931470	0.02125787	0.00444673
38.73129029	0.02114870	0.00451836
38.92326588	0.02104520	0.00453829
39.11524146	0.02100614	0.00452524
39.30721705	0.02103582	0.00449266
39.49919264	0.02113339	0.00444386
39.69116823	0.02129688	0.00437703
39.88314382	0.02148570	0.00431380
40.07511941	0.02167601	0.00424884
40.26709500	0.02186445	0.00416743
40.45907059	0.02205018	0.00408134
40.65104618	0.02223957	0.00400729
40.84302177	0.02243363	0.00393039
41.03499736	0.02263337	0.00387256
41.22697295	0.02283721	0.00379831
41.41894854	0.02304464	0.00370938
41.61092413	0.02325579	0.00365936
41.80289972	0.02347132	0.00358615
41.99487530	0.02363266	0.00354826
42.18685089	0.02373521	0.00350736
42.37882648	0.02377969	0.00346339
42.57080207	0.02376689	0.00341313
42.76277766	0.02373761	0.00338480
42.95475325	0.02370892	0.00336693
43.14672884	0.02368011	0.00333210
43.33870443	0.02365154	0.00333217
43.53068002	0.02362325	0.00337141
43.72265561	0.02359453	0.00342499
43.91463120	0.02356633	0.00343627
44.10660679	0.02365644	0.00344674
44.29858238	0.02389147	0.00347787
44.49055797	0.02409056	0.00353292
44.68253356	0.02425370	0.00357253
44.87450914	0.02438134	0.00360521
45.06648473	0.02447426	0.00363700
45.25846032	0.02453321	0.00369026
45.45043591	0.02461007	0.00377385
45.64241150	0.02469432	0.00388034
45.83438709	0.02475466	0.00395474
46.02636268	0.02472464	0.00400588
46.21833827	0.02460119	0.00404017
46.41031386	0.02438427	0.00407504
46.60228945	0.02409620	0.00409335
46.79426504	0.02394279	0.00408101
46.98624063	0.02365487	0.00403042
47.17821622	0.02307457	0.00398626
47.37019181	0.02238308	0.00393252
47.56216740	0.02171676	0.00391111
47.75414298	0.02133882	0.00386627
47.94611857	0.02104412	0.00384154
48.13809416	0.02083202	0.00386411
48.33006975	0.02061690	0.00387829
48.52204534	0.02040255	0.00387566
48.71402093	0.02021985	0.00386941
48.90599652	0.02013337	0.00382956
49.09797211	0.01997050	0.00377307
49.28994770	0.01980909	0.00373567
49.48192329	0.01975103	0.00369867
49.67389888	0.01958529	0.00368031
49.86587447	0.01955624	0.00367238
50.05785006	0.01974099	0.00361993
50.24982565	0.01984919	0.00355104
50.44180124	0.01953773	0.00346449
50.63377683	0.01898537	0.00335436
50.82575241	0.01842072	0.00323312
51.01772800	0.01784378	0.00308133
51.20970359	0.01728823	0.00296427
51.40167918	0.01691914	0.00286059
51.59365477	0.01657143	0.00276921
51.78563036	0.01622562	0.00270335
51.97760595	0.01605684	0.00265385
52.16958154	0.01598497	0.00261919
52.36155713	0.01588618	0.00261214
52.55353272	0.01580124	0.00262626
52.74550831	0.01569320	0.00264723
52.93748390	0.01553181	0.00266569
53.12945949	0.01557277	0.00268754
53.32143508	0.01602251	0.00269022
53.51341067	0.01644809	0.00270043
53.70538625	0.01683032	0.00268931
53.89736184	0.01715735	0.00267712
54.08933743	0.01734659	0.00264739
54.28131302	0.01738546	0.00260761
54.47328861	0.01744111	0.00259998
54.66526420	0.01745920	0.00261390
54.85723979	0.01744781	0.00263117
55.04921538	0.01742001	0.00264982
55.24119097	0.01737145	0.00267582
55.43316656	0.01720050	0.00269237
55.62514215	0.01687184	0.00271267
55.81711774	0.01647966	0.00273476
56.00909333	0.01614201	0.00276005
56.20106892	0.01586576	0.00278252
56.39304451	0.01562970	0.00280435
56.58502009	0.01542896	0.00283891
56.77699568	0.01527244	0.00285927
56.96897127	0.01523242	0.00287532
57.16094686	0.01516014	0.00287156
57.35292245	0.01503602	0.00286388
57.54489804	0.01487524	0.00286391
57.73687363	0.01473133	0.00287032
57.92884922	0.01459353	0.00289402
58.12082481	0.01446618	0.00292589
58.31280040	0.01441561	0.00297176
58.50477599	0.01442596	0.00302099
58.69675158	0.01448750	0.00308783
58.88872717	0.01451679	0.00315569
59.08070276	0.01450698	0.00320753
59.27267835	0.01446964	0.00324580
59.46465393	0.01440479	0.00328712
59.65662952	0.01431537	0.00330718
59.84860511	0.01421357	0.00331412
60.04058070	0.01411337	0.00330930
60.23255629	0.01403862	0.00329353
60.42453188	0.01405032	0.00326296
60.61650747	0.01409157	0.00322000
60.80848306	0.01415954	0.00317964
61.00045865	0.01423687	0.00311851
61.19243424	0.01432407	0.00304063
61.38440983	0.01440977	0.00293744
61.57638542	0.01447658	0.00285026
61.76836101	0.01452929	0.00277390
61.96033660	0.01459954	0.00269989
62.15231219	0.01468832	0.00263895
62.34428777	0.01478461	0.00261384
62.53626336	0.01488303	0.00260586
62.72823895	0.01497474	0.00261491
62.92021454	0.01504879	0.00265013
63.11219013	0.01520115	0.00270784
63.30416572	0.01536795	0.00276715
63.49614131	0.01535570	0.00283754
63.68811690	0.01529858	0.00290999
63.88009249	0.01531818	0.00298149
64.07206808	0.01527157	0.00305016
64.26404367	0.01516512	0.00309890
64.45601926	0.01499893	0.00312513
64.64799485	0.01473333	0.00313459
64.83997044	0.01433666	0.00311569
65.03194603	0.01380793	0.00308648
65.22392162	0.01372503	0.00302960
65.41589720	0.01351303	0.00296473
65.60787279	0.01321647	0.00289917
65.79984838	0.01292600	0.00282561
65.99182397	0.01255002	0.00276356
66.18379956	0.01215221	0.00272769
66.37577515	0.01192192	0.00268071
66.56775074	0.01172749	0.00261789
66.75972633	0.01146441	0.00256737
66.95170192	0.01127411	0.00254763
67.14367751	0.01115658	0.00252983
67.33565310	0.01100030	0.00251080
67.52762869	0.01089865	0.00249202
67.71960428	0.01091339	0.00249343
67.91157987	0.01112636	0.00250264
68.10355546	0.01101394	0.00251894
68.29553104	0.01091747	0.00253928
68.48750663	0.01085205	0.00255909
68.67948222	0.01081160	0.00256178
68.87145781	0.01091801	0.00254860
69.06343340	0.01097415	0.00253888
69.25540899	0.01094887	0.00254375
69.44738458	0.01084250	0.00258304
69.63936017	0.01067519	0.00261870
69.83133576	0.01054791	0.00266805
70.02331135	0.01047143	0.00273540
70.21528694	0.01051145	0.00279938
70.40726253	0.01064408	0.00286520
70.59923812	0.01082441	0.00293488
70.79121371	0.01097035	0.00302624
